COMMON NAME,Inventory Number,Featured Images,Scientific name ,Nomenclature adopted by Austrian scientists,Collection date,MAIN PLACES,Collection place,Dimension,Indice IUCN,Links, Subject ,Class,Owner,References,State of preservation,spline-code,COORDINATES DD,COORDINATES DMS,Description,Notes,latitude,longitude
Agama hispida,E1057,https://globalsearoutes.net/wp-content/uploads/2024/01/E-1057new-2-scaled.jpg,"Agama hispida (Kaup, 1827)",Agama hispida spec. Linné,2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa",ø 5.5x20.5 cm ,Lower risk,https://reptile-database.reptarium.cz/species?genus=Agama&species=hispida,Zoology,Reptiles,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, F. Steindachner, ""Reptilien"", p. 21.

J. Kaup, ""Zoologische Monographien"" in Isis von [Lorenz] Oken, 1827, vol. 20, pp. 610-625.",good,,"-33.964167, 18.439750","33°57'51.0""S 18°26'23.1""E","Agama hispida is a species of lizard in the family Agamidae. The species is native to southern Africa.
During the expedition five specimens of this species were collected.",,-33.964167,18.43975
American Oystercatcher/Beccaccia di mare americana,A2000,https://globalsearoutes.net/wp-content/uploads/2024/03/A-02000.jpg,"Haematopus palliatus durnfordi Sharpe, RB 1896
 ",Haematopus palliatus Temm.,April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",37x28x15 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?lang=IT&avibaseid=1EAF72E567138655&sec=summary,Zoology ,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 117

F. A. L. Thienemann, Zur Fortpflanzungsgeschichte der gesammten Vögel : Ausgearbeitet in den Jahren 1845 bis 1854 ; Einhundert Tafeln colorirter Abbildungen von Vogeleiern, Dresden, 1856, pl. LVII, fig. 5a

R. B. Sharpe, ""Catalogue of the Limicolæ in the Collection of the British Museum"" in Catalogue of the Birds in the British Museum, vol. XXIV, London, 1896, pp. 114-116.",good,,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"": ""An egg which the expedition brought back from Chile and which was labelled as coming from this species corresponds in all respects to Thienemann's illustration of the egg of H. niger (Fortpflanzungsgesch. t. 57 , Fig. 5 a), but is shorter and less pointed. Length 2'' 1 1/2''', width 17'''"" (p. 117).",,44.314833,9.320917
American Painted-snipe/Beccaccia dorata del Sudamerica,A2037,https://globalsearoutes.net/wp-content/uploads/2024/06/A-02037.jpg,"Nycticryphes semicollaris (Vieillot, LJP 1816)",unknown,unknown,RIO DE JANEIRO,Probably Brazil or Chile ,12x13x15.5 cm ,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=585E1D52,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Nouveau dictionnaire d'histoire naturelle, appliquée aux arts, à l'agriculture, à l'économie rurale et domestique, à la médecine, etc., Paris, Chez Deterville, 1816-1819, ed. 14, 36 vols., vol. XIV, p. 402",good ,,"-33.437833, -70.650333","33°26'16.2""S 70°39'01.2""W","It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-33.437833,-70.650333
Antarctic Tern/Sterna antartica,A3089,https://globalsearoutes.net/wp-content/uploads/2024/04/A-03089.jpg,"Sterna vittata Gmelin, JF 1789",Sterna vittata Gmel.,November 1857,ST. PAUL ISLAND,"Crater Bay, Island of St. Paul",unknow,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E9C409B5919B2136,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", pp. 152-153

J. F. Gmelin (ed. by), Systema Naturae per regna tria naturae, etc., Lipsiae [Leipzig], impensis Georg. Emanuel. Beer, 1788-1793, ed. 13, 3 vols., vol. I, pt. 2, p. 609.",good,gsa3089-fb3e1307f302fa029d69182199d323c7/,"-38.720333, 77.528833","38°43'13.2""S 77°31'43.8""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"": ""Baron Wüllerstorf shot a female of this tern in November at Crater Bay on St Paul's Island. Eyes black, beak scarlet red, legs yellowish-red, a little paler on webbed toes and nails, with a central horn-brown nail at the end. Total length 13 1/2‘, wingspan 2’ 3’. Another female was knocked down from the nest on a rugged basalt cliff in the same month. Most of the nests of these birds are found in the small caves of the steep basalt cliffs on the coast and in the crater. One egg was recovered by Mr v. Frauenfeld. In addition to the two females mentioned above, three males and one bird with no indication of sex were preserved in the bell. Some specimens were preserved in alcohol. Zlbr. [Zelebor]. A male and, to a greater extent, a female show white spots on the top of the head and also on the throat, on the lower part of the neck and on the sides of the head the gray color is more or less mixed with white; they are probably younger birds. The egg of this tern (Plate VI, Fig. 14) is gray-brown, with larger and smaller, round, often elongated and angular spots of dark brown color, which are placed closer to the blunt end. The length of the egg is 1'' 8''', the width 13''' [...] (pp. 152-153).",,-38.720333,77.528833
Ashy-headed goose/Oca testa grigia,A1974,https://globalsearoutes.net/wp-content/uploads/2024/04/A-01974-1.jpg,"Chloephaga poliocephala Sclater PL, 1857",Bernicla poliocephala (Gray),April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",36x20x42 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E0DEB0E731794C70,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 136.

P. L. Sclater, ""4. Note on the Upland Goose"" in Proceedings of the Zoological Society of London. Part XXV. 1857, London, Printed for the Society [...] by Messr. Longman, Brown, Green and Londgmans, p. 128.",good,gsa1974-55335328de5b26615574679a211f3242/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":""The specimens acquired by Mr. Germain had the original designation m. f. Chiloe Dec. 1857. Brown iris"" (p. 136).",,44.314833,9.320917
Azure-shouldered tanager/Tangara aliazzurre,A3459,https://globalsearoutes.net/wp-content/uploads/2024/07/A-03459.jpg,"Thraupis cyanoptera (Vieillot, LJP1817)",unknown,unknown,RIO DE JANEIRO,Probably Brazil ,"15x16x16,5 cm ",Endangered,https://avibase.bsc-eoc.org/species.jsp?avibaseid=AF14F9B4,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Nouveau dictionnaire d'histoire naturelle, appliquée aux arts, à l'agriculture, à l'économie rurale et domestique, à la médecine, etc., Paris, Chez Deterville, 1816-1819, ed. 21, 36 vols., vol. XXI, p. 104",good ,,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Banteng/Banteng,M1965,https://globalsearoutes.net/wp-content/uploads/2024/05/M-1965a-1.jpg,"Bos javanicus  d'Alton, 1823",Bos banteng Raff,5-29 May 1858,JAVA,Java ,Not specified,Endangered,https://www.gbif.org/pt/species/2441027,Zoology,Mammal,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, J. Zelebor, ""Säugethiere"", p. 37",good ,,"-6.134833, 106.813222","6°08'05.4""S 106°48'47.6""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, J. Zelebor, ""Säugethiere"": ""Appendix: Through the expedition received a donation by Mr. W. E. von Schierbrand, General of the Genie Corps in Batavia. Bos banteng Raffl. (Skull)""(p. 37).",,-6.134833,106.813222
Black Vulture/Urubù dalla testa nera,A3155,https://globalsearoutes.net/wp-content/uploads/2024/03/A-03155.jpg,"Coragyps atratus (Bechstein, JM 1793)",unknown,Unknown,N. A.,Unknown,35x30x49 cm ,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8AD0DC37,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"J. M. Bechstein, Johann Lathams allgemeine Uebersicht der Vögel, Nürnberg [Nuremberg], In der kaiserlich privilegirten Kunst- und Buchandlung A.C. Weigels und Schneiders, 1793-1812, 4 vols., vol. I, pt. 2, p. 655",good ,gsa1355-76417ba55c33e77697563f44ff80e7b3/,"NAN, NAN",,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".",The bird's range does not correspond with the stops made by the frigate Novara. It is likely that the find was not collected during the expedition ,NAN, NAN
Black-bellied Thorntail/Colibrì codalunga di Langsdorff,A2267,https://globalsearoutes.net/wp-content/uploads/2024/04/A-02267-1.jpg,"Discosura langsdorffi (Temminck, CJ 1821)",unknown,Unknown,RIO DE JANEIRO,Rio de Janeiro,9x9.5x17 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=67671AD1,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Nouveau recueil de planches coloriées d'oiseaux, pour servir de suite et de complément aux planches enluminées de Buffon édition in-folio et in-4⁰ de l'Imprimerie royale, 1770, F.G Levrault, Paris, 1838, p. 688",good,gsa2267-b208ee61939e3f21d9736e6938e273a5/,"-22.951889, -43.211111","22°57'06.8""S 43°12'40.0""W","It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.951889,-43.211111
Black-bellied thorntail/Spinuro pancianera,A2267,https://globalsearoutes.net/wp-content/uploads/2024/05/A-02267.jpg,"Discosura langsdorffi (Temminck, CJ 1821)",unknown,unknown,N. A.,unknown,9x9.5x17 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=67671AD1,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,,good ,,"-22.951889, -43.211111",,,,-22.951889,-43.211111
