ID,TITLE / NAME,PLACE,"PLACE OF COLLECTION
(tables.stopovers.name)",ALTERNATIVE TITLE / NAME,ENGLISH TRANSLATION,"FIRST AUTHOR
(tables.persons.name)","SECOND AUTHOR
(tables.persons.name)","TRANSLATED BY
(table.persons.name)","EDITED BY
(tables.persons.name)",KIND OF SOURCES,MEDIUM,MEASURES / QUANTITY / FORMAT,LANGUAGE,YEAR / DATE,PUBLISHER / PRINTER,COORDINATES DD,PERIOD,"MAIN LOCAL INSTITUTION INVOLVED
(tables.institutions.name)","MAIN LOCAL PERSON INVOLVED / DONOR
(tables.persons.name)","SECONDARY LOCAL PERSON INVOLVED / DONOR
(tables.persons.name)","AUSTRIAN INSTITUTIONS INVOLVED
(tables.institutions.name)","OTHER PERSONS INVOLVED
(tables.persons.name)","NOVARA SCIENTIST INVOLVED
(tables.persons.name)",COLLECTING MODE,"CURRENT OWNER
(tables.institutions.name)",COLLECTION,SHELFMARK,DIGITAL VERSION,IMAGE,DESCRIPTION,REFERENCE (English edition),QUOTATIONS,QUOTATIONS ORDER,RESOURCES,RESOURCES LINKS,latitude,longitude
1,Mahawanso,CEYLON,Colombo,"Mahavamsa
or
Mahantam Wanso",The Great Chronicle,"Mahānāma
(5th century, monk)",,,,"Manuscript, Finding, Historical chronicle, Poetry, Religious text","Engraved tablet, Palm leaves, Wood",540 x 60 mm,Pāli,5th century,,"6.959444, 79.875278",January 1858,,David Wilson,,Kaiserlich-Königliche Hofbibliothek,,,Purchased,Österreichischen Nationalbibliothek,ÖNB Sammlung von Handschriften und alten Drucken,Cod. Ind. 25 HAN MAG,N.A.,N.A.,"This manuscript is a historical chronicle of Sri Lanka compiled by the 
buddhist monk Mahānāma in the 5th century. Written in Pali verse style, 
the Mahāvamsa is at once a chronological record of dynastic succession in
Sri Lanka and a Buddhist history. This work was based on the Dīpavamsa 
(The History of the Island), an older chronicle of Sri Lanka and Buddhism.
It ends with the time of the king Mahāsena, who reigned from the late third
through the early fourth century. The Chūlavamsa (The Little Chronicle) is a
sequel to the Mahāvamsa, continuing the history of Sri Lanka to the 19th 
century. The name Mahāvamsa is often applied to the original Mahāvamsa 
together with its sequel, Chūlavamsa.","I, 395-396","""To the kindness and active interest in our objects of Mr. Wilson, in whose agreeable villa 
at Mootwall [Modara] [...] we spent the last night of our stay at Colombo, we are also indebted 
for a copy, with which he presented us, of the most ancient annals of Ceylon, inscribed with 
an iron graver upon Talipot palm leaves in the highly-esteemed Pali language, and preserved 
between richly-carved boards of the costly wood of the Kalamander tree (Diospyrus Hirsuta). 
This carefully-preserved MS. includes, among others, the celebrated epic poem ""Mahawanso,"" 
(an abbreviation ""Mahantaman Wanso,"" ""Genealogy of mighty men,"")
which recites under 100 heads, and in 9175 verses, the most important events connected 
with the interior constitution and history of the island, as also of all the battles fought 
by the inhabitants in foreign countries from B.C. 543 to the year 1758, A.D."" [I, 395]","NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","""Mahāvamsa"" in Dictionary of Buddhism 

""Mahānāma"" in Dictionary of Buddhism

G. Abbattista, ""Pāli manuscripts and works of Ceylonese Buddhist tradition in English translation"", in Kosmos. The Sailing Ship of Knowledge, 
Catalogue of the exhibition, Silvana Editoriale, Milano, 166-167","https://www.nichirenlibrary.org/en/dic/Content/M/27 

https://www.nichirenlibrary.org/en/dic/Content/M/17 ",6.959444, 79.875278
2,Abhidhānappadīpikā,CEYLON,Colombo,,,"Moggallāna 
(or Moggalāna Thera)
(Monk)",,,,"Manuscript, Finding, Dictionary, Lexicon","""Engraved tablet, Palm leaves"", Wood",N.A.,Pāli,12th century,,"6.9233569535186135, 79.87217434668318",January 1858,,David Wilson,,Kaiserlich-Königliche Hofbibliothek,,,Purchased,Biblioteca Civica Attilio Hortis,,MS 3.22,N.A.,N.A.,"This document is a Sinhalese palm leaf manuscript fixed between wooden
planks, where the text is the Abhidhānappadīpikā, the oldest surviving Pāli
dictionary or lexicon, composed by the Buddhist monk Moggallāna 
(or Moggalāna Thera) in the 12th century in Sri Lanka.","I, 395-396","""In addition to the copy of the "" Mahawanso,"" we also procured a number of other important 
Cingalese MSS. on Talipot palms, which were made use of by Tumour, partly in his translation 
of the ""Mahawanso,"" partly in his other works upon Ceylon, and which embrace numerous 
valuable historical details not comprised in the "" Mahawanso."" This complete collection of the 
most antique annals of the Island of Ceylon, in the purchase of which we were kindly favoured 
with the advice and assistance of Mr. Wilson at Colombo, together with a variety of other 
Cingalese MSS. on palm leaves, collected at a subsequent date, now form part of the collection 
of valuable books in the Imperial Royal Library at Vienna."" [I, 396]","NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","""Abhidhanappadipika, Abhidhānappadīpikā"" in Wisdom Library

""Moggallāna (or Moggalāna) Thera"" in Buddhist door - Dictionary

G. Abbattista, ""Pāli manuscripts and works of Ceylonese Buddhist tradition in English translation"", in Kosmos. The Sailing Ship of Knowledge, 
Catalogue of the exhibition, Silvana Editoriale, Milano, 166-167","https://www.wisdomlib.org/definition/abhidhanappadipika 

https://www2.buddhistdoor.net/dictionary/details/moggallana ",6.9233569535186135, 79.87217434668318
3,Manuscript based on the Satipaṭṭhāna-sutta,CEYLON,Colombo,,Discourse on the Foundations of Mindfulness,N.A.,,,,"Manuscript, Finding, Religious text","""Engraved tablet, Palm leaves"", Wood",N.A.,Pāli,N.A.,,"6.9233569535186135, 79.87217434668318",January 1858,,David Wilson,,Kaiserlich-Königliche Hofbibliothek,,,Purchased,Biblioteca Civica Attilio Hortis,,MS 3.23,N.A.,N.A.,"This document is a Sri Lankan palm leaf manuscript fixed between wooden
planks, where the text is a Sinhala Buddhist preaching manual based on the
Satipaṭṭhāna Sutta or ""Discourse on the Foundations of Mindfulness"",
part of the Buddhist canon in the Pāli language. According to the colophon,
the author of the text was the Buddhist monk Andraveve Dharmpala Unnase.
It is stated that the manuscript was written in the Shaka era 727 (805 A.D.).
However, this date must be mistaken as no manuscript from this period has
survived, while the language is close to that spoken in the Kandyan era,
the time when Sri Lanka was a British colony.","I, 395-396","""In addition to the copy of the "" Mahawanso,"" we also pro- cured a number of other important 
Cingalese MSS. on Talipot palms, which were made use of by Tumour, partly in his translation 
of the ""Mahawanso,"" partly in his other works upon Ceylon, and which embrace numerous 
valuable historical details not comprised in the "" Mahawanso."" This complete collection of the 
most antique annals of the Island of Ceylon, in the purchase of which we were kindly favoured 
with the advice and assistance of Mr. Wilson at Colombo, together with a variety of other 
Cingalese MSS. on palm leaves, collected at a subsequent date, now form part of the collection 
of valuable books in the Imperial Royal Library at Vienna."" [I, 396]","NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","G. Abbattista, ""Pāli manuscripts and works of Ceylonese Buddhist tradition in English translation"", in Kosmos. The Sailing Ship of Knowledge, 
Catalogue of the exhibition, Silvana Editoriale, Milano, 166-167",,6.9233569535186135, 79.87217434668318
4,"Almanak Administrativo, Mercantil E Industrial 
Da Corte Provincia Do Rio De Janeiro",RIO DE JANEIRO,Rio de Janeiro,,,[Ludwig Christian] Eduard von Laemmert,,,,"Printed source, Almanac, Periodical",Paper,"octavo volume, 1200-1400 p.",Portuguese,1852-1857,"Eduardo e Henrique Laemmert,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),ÖAW – Österreichische Akademie der Wissenschaften,"Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),"182999-B.1856 NEU MAG
182999-B.1852 NEU MAG 
182999-B.1853 NEU MAG 
182999-B.1857 NEU MAG",http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ255156800,,"The Almanak Laemmert is considered to be the first almanac published 
in Brazil. It was published in Rio de Janeiro between 1844 and 1889 
by the brothers Eduard and Heinrich Laemmert. 
With texts about the Brazilian court, ministries and imperial legislation, 
as well as census data and even advertisements, the Almanak Laemmert 
became a fundamental source for understanding Brazilian daily life 
in the last century.","I, 133-134","""For example, the most important literary enterprise in the empire is in German hands, 
viz. the printing and bookselling business of the brothers Laemmert. One publication due 
to the founder of the firm, Mr. E. Laemmert, a Bavarian by birth, has already proved 
of immense utility, the ""Almanak administrativo, mercantil, e industrial"" compiled by himself
first published in the year 1843. [...] become developed into an elegant, simply-classified 
octavo volume, 1400 pages thick, which, compiled carefully and kept constantly corrected to 
the latest moment, despite the most disheartening material difficulties, gives a very interesting
insight into the entire internal organization of the empire, and at the same time supplies the 
most authentic information as to the scientific, commercial, and industrial activity of the city 
and province of Rio."" [I, 133-134]","NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Laemmert"" in Wikipedia

""Almanaque Laemmert"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Laemmert 

https://pt.wikipedia.org/wiki/Almanaque_Laemmert 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
5,"Folhinha deleitavel para o anno de 1857 
contendo alem da chronica nacional ... e ... 
uma colleccao instructiva e deleitosa 
de contos historicos anecdotas e ditos agudos",RIO DE JANEIRO,Rio de Janeiro,,,N.A.,,,,"Printed source, Calendar, Periodical",Paper,"duodecimo volume, 360 p.",Portuguese,1857,"Eduardo e Henrique Laemmert,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),ÖAW – Österreichische Akademie der Wissenschaften,"Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),30658-A NEU MAG,http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ222392600,,"Scherzer described this document as a ""popular kalendar"" and ""a medium
for the diffusion of useful knowledge among the masses"" thoughout the 
empire.","I, 134","""Even more important as a medium for the diffusion of useful knowledge among the masses is
a sort of popular kalendar, which is published in duodecimo form, tinder the title of ""Folinhas""
(Leaves), and for 320 reis (about 7 1/2d. English), gives upon 360 pages an immense amount of
useful information. Of this publication 80,000 copies were sold throughout the empire 
in the year 1857."" [I, 134]","NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Laemmert"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Laemmert 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
6,Obras oratorias,RIO DE JANEIRO,Rio de Janeiro,,,"Francisco de Monte Alverne
or
Mont'Alverne
(Monk)
(1784-1858)",,,,"Printed source, ""Speech, sermon""",Paper,4 volumes,Portuguese,1853,"Eduardo e Henrique Laemmert,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),"Kaiserlich-Königliche Hofbibliothek, ÖAW – Österreichische Akademie der Wissenschaften","Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),"31181-B.1 NEU MAG
31181-B.2 NEU MAG 
31181-B.3 NEU MAG
31181-B.4 NEU MAG","http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ181337309 

http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ181337401 

http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ181337504 

http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ181337607 ",,"This publication consists of 4 volumes published between 1853 and 1854, 
divided as follows: the first of Sermons and Lenten Mysteries, preceded by
a portrait of the author; the second of Sermons of Mysteries and Panegyrics
of Jesus Christ and the Virgin; the third of Panegyrics of the Saints; the fourth
of Panegyrics of the Saints and Funeral Oration.",/,,"NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Laemmert"" in Wikipedia

""Frei Francisco de Monte Alverne; Mont'Alverne"" in BLPL - Biblioteca Digital de Literatura de Países Lusófonos

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Laemmert 

https://www.literaturabrasileira.ufsc.br/autores/?id=4796 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
7,"Direito publico Brazileiro e 
analyse da constituicao do imperio",RIO DE JANEIRO,Rio de Janeiro,,,"José Antonio Pimenta Bueno
(Marquis of São Vicente)
(1803-1878)",,,,"Printed source, Essay",Paper,N.A.,Portuguese,1857,"Typographia Imp. e Const. de J. Villeneuve & Co.,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),"Kaiserlich-Königliche Hofbibliothek, ÖAW – Österreichische Akademie der Wissenschaften","Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),32034-B NEU MAG,http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ225547102,,,/,,"NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Laemmert"" in Wikipedia

""José Antônio Pimenta Bueno, Marquis of São Vicente"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Laemmert

https://en.wikipedia.org/wiki/Jos%C3%A9_Ant%C3%B4nio_Pimenta_Bueno,_Marquis_of_S%C3%A3o_Vicente 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
8,Compendio da historia do Brasil ... Com retratos,RIO DE JANEIRO,Rio de Janeiro,,,"José Inácio de Abreu e Lima 
or
José Ignacio Abreu y Lima
(1794-1869)",,,,"Printed source, Essay, Historical chronicle",Paper,2 volumes,Portuguese,1843,"Typographia Imp. e Const. de J. Villeneuve & Co.,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),"Kaiserlich-Königliche Hofbibliothek, ÖAW – Österreichische Akademie der Wissenschaften","Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Sammlung von Handschriften und alten Drucken (ALT) Magazin Josefsplatz (ALT-MAG) ,"31184-B.1 ALT MAG 
31184-B.2 ALT MAG","http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ178549604

http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ178549707",,"The Compêndio da História do Brasil, published in 1843, is the Country's 
first compendium in this field, presented to the Brazilian Historical and 
Geographical Institute (IHGB). In 1850, the Compêndio replaces until 1828 
the Resumo de História do Brasil (1831) by Henrique Luís de Niemeyer 
Bellegarde (1802-1839), and becomes the book used in schools from 
1850 to 1862, being replaced by the Liçõesde História do Brasil (1861), 
by Joaquim Manoel de Macedo (1820-1882 . The Compêndio earns its 
author an accusation of plagiarism for the work, according to the opinion 
of Francisco Adolfo de Varnhagen (1816-1878) of the IHGB's Legislation 
Commission.",/,,"NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""José Inácio de Abreu e Lima"" in Wikipedia

""Laemmert"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

T. M. Barbosa de Oliveira, A contribuição literária do General Abreu e Lima: recepção na História da Literatura Brasileira, in ""Amoxtli"", 3, 2019, 17-34 

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Abreu_y_Lima 

https://pt.wikipedia.org/wiki/Laemmert 

https://en.wikipedia.org/wiki/Ferdinand_Wolf 

https://www.redalyc.org/journal/6157/615764480002/html/ ",-22.902784658070228, -43.177115004200616
9,"Memorias diarias da guerra do Brasil 
por espaco de nove annos, comecando em 1630, 
deduzidas das que escreveu o Marquez de Basto Conde 
e Senhor de Pernambuco ...",RIO DE JANEIRO,Rio de Janeiro,,,"Alexandre José de Mello Moraes
(1816-1882)","Inácio Acioli de Cerqueira e Silva 
(1808-1865)",,,"Printed source, Essay, Historical chronicle",Paper,"VIII, 164 p.",Portuguese,1855,"Typ. de M. Barreto,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),"Kaiserlich-Königliche Hofbibliothek, ÖAW – Österreichische Akademie der Wissenschaften","Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),31443-C NEU MAG,http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ226700908,,,/,,"NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Alexandre José de Mello Moraes"" in Wikipedia

""Inácio Acioli de Cerqueira e Silva"" in BLPL - Biblioteca Digital de Literatura de Países Lusófonos

""Laemmert"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Mello_Moraes 

https://www.literaturabrasileira.ufsc.br/autores/?id=16317 

https://pt.wikipedia.org/wiki/Laemmert 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
10,Materia medica ou pathogenesia homoeopathica [...],RIO DE JANEIRO,Rio de Janeiro,,,"Alexandre José de Mello Moraes
(1816-1882)",,,,"Printed source, Medicine, Dictionary",Paper,2 volumes,Portuguese,1855-1857,"Eduardo e Henrique Laemmert,
Rio de Janeiro","-22.902784658070228, -43.177115004200616",August 1857,Eduardo e Henrique Laemmert Rio de Janeiro,[Ludwig Christian] Eduard von Laemmert,Heinrich Laemmert (1812-1884),"Kaiserlich-Königliche Hofbibliothek, ÖAW – Österreichische Akademie der Wissenschaften","Ferdinand Wolf 
(1796-1866)",Ferdinand von Hochstetter (1829-1884),Purchased,Österreichischen Nationalbibliothek,Benützungsbereich Heldenplatz (NEU) Magazin Heldenplatz (MAG),122522-B.1 NEU MAG,"http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ21825030X 

http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ218250402 ",,,/,,"NARRATIVE,
ARCHIVAL NOTE,
OTHER ARCHIVAL RESOURCE, 
ONB BLOG,
ESSAY, 
CATALOGUE



NARRATIVE
---
---
---
---
CATALOGUE

prediCella(AE).slittala(""---"")

var quotation = [0,1,2,3,4,5,6]","Ankauf brasilianischer Werke – ÖNB, Hausarchiv, Akt 32 234/1857 

Übergabe von ostindischen Druckwerken – ÖNB, Hausarchiv, Akt 32 125/1858 

Anfrage zur Reise der Fregatte Novara – ÖNB, Hausarchiv, Akt 31 55/1857

M. Kiegler-Griensteidl, Die Bücherkäufe in Rio de Janeiro. Die Forscher der Novara-Weltumseglung und ihre Erwerbungen für die Hofbibliothek 
– Teil 2, in ÖNB-Forschungs-Blog, 21.10.2024

""Alexandre José de Mello Moraes"" in Wikipedia

""Laemmert"" in Wikipedia

""Ferdinand Wolf"" in Wikipedia

G. Abbattista, ""Brazilian and Chiliean publications"", in Kosmos. The Sailing Ship of Knowledge, Catalogue of the exhibition, Silvana Editoriale, 
Milano, 168","http://data.onb.ac.at/rec/DZ00009757 

http://data.onb.ac.at/rec/DZ00009843 

http://data.onb.ac.at/rec/DZ00009537 

https://www.onb.ac.at/mehr/blogs/detail/die-buecherkaeufe-in-rio-de-janeiro 

https://pt.wikipedia.org/wiki/Mello_Moraes 

https://pt.wikipedia.org/wiki/Laemmert 

https://en.wikipedia.org/wiki/Ferdinand_Wolf ",-22.902784658070228, -43.177115004200616
